"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","delta_t_crit_r_min","delta_t_crit_r_max","k"
"SSP3_7_0",0.0304682170572716,1,1.45,1.15,1.45,2
"SSP5_8_5",0.0297645958478029,1,1.45,1.15,1.45,2
"SSP1_1_9",0.00670971035443663,1.45,1.9,1,1.6,2
"SSP1_2_6",0.00675873399150878,1.45,1.9,1,1.6,2
"SSP2_4_5",0.021628462997431,1.45,1.9,1,1.6,2
"SSP3_7_0",0.0280520246983776,1.45,1.9,1,1.6,2
"SSP5_8_5",0.0272073107282206,1.45,1.9,1,1.6,2
"SSP1_1_9",0.00919851250256194,1.15,1.9,1.15,1.6,2
"SSP1_2_6",0.00706752327146249,1.15,1.9,1.15,1.6,2
"SSP2_4_5",0.0224915505665985,1.15,1.9,1.15,1.6,2
"SSP3_7_0",0.0193362267634996,1.15,1.9,1.15,1.6,2
"SSP5_8_5",0.0187317796892559,1.15,1.9,1.15,1.6,2
"SSP1_1_9",0.00434572451587154,1.3,1.75,1.15,2.5,2
"SSP1_2_6",0.00381773424380068,1.3,1.75,1.15,2.5,2
"SSP2_4_5",0.0163278196811078,1.3,1.75,1.15,2.5,2
"SSP3_7_0",0.0209176057705457,1.3,1.75,1.15,2.5,2
"SSP5_8_5",0.0182414194568673,1.3,1.75,1.15,2.5,2
"SSP1_1_9",0.018964014922337,1.75,2.5,2.05,2.5,2
"SSP1_2_6",0.0142040585880269,1.75,2.5,2.05,2.5,2
"SSP2_4_5",0.0269834474894749,1.75,2.5,2.05,2.5,2
"SSP3_7_0",0.0328942748944869,1.75,2.5,2.05,2.5,2
"SSP5_8_5",0.0365170046007589,1.75,2.5,2.05,2.5,2
"SSP1_1_9",0.0109598901141702,1.3,1.9,2.05,2.5,2
"SSP1_2_6",0.00711895793566666,1.3,1.9,2.05,2.5,2
"SSP2_4_5",0.0343841688230846,1.3,1.9,2.05,2.5,2
"SSP3_7_0",0.0255242601984307,1.3,1.9,2.05,2.5,2
"SSP5_8_5",0.0250396654299413,1.3,1.9,2.05,2.5,2
"SSP1_1_9",0.0148496830246909,1.6,2.35,1,2.35,2
"SSP1_2_6",0.0107068477661026,1.6,2.35,1,2.35,2
"SSP2_4_5",0.028001312543031,1.6,2.35,1,2.35,2
"SSP3_7_0",0.0380957013808202,1.6,2.35,1,2.35,2
"SSP5_8_5",0.0413759050084482,1.6,2.35,1,2.35,2
"SSP1_1_9",0.0286259062422509,1,2.2,1.9,2.35,2
"SSP1_2_6",0.0346632638339334,1,2.2,1.9,2.35,2
"SSP2_4_5",0.0696994264629676,1,2.2,1.9,2.35,2
"SSP3_7_0",0.0565252884438189,1,2.2,1.9,2.35,2
"SSP5_8_5",0.0603541046130013,1,2.2,1.9,2.35,2
"SSP1_1_9",0.0105958822195757,1.6,2.2,1.6,2.05,2
"SSP1_2_6",0.00854421717810142,1.6,2.2,1.6,2.05,2
"SSP2_4_5",0.0246155715728154,1.6,2.2,1.6,2.05,2
"SSP3_7_0",0.0302984395416703,1.6,2.2,1.6,2.05,2
"SSP5_8_5",0.0317373585181597,1.6,2.2,1.6,2.05,2
"SSP1_1_9",0.0119363473805723,2.2,2.35,1.3,2.35,2
"SSP1_2_6",0.00790884999815456,2.2,2.35,1.3,2.35,2
"SSP2_4_5",0.0151275239956118,2.2,2.35,1.3,2.35,2
"SSP3_7_0",0.0241827732380849,2.2,2.35,1.3,2.35,2
"SSP5_8_5",0.0268561275215167,2.2,2.35,1.3,2.35,2
"SSP1_1_9",0.000872146163906159,2.35,2.35,1.9,2.35,2
"SSP1_2_6",0.0019759973755778,2.35,2.35,1.9,2.35,2
"SSP2_4_5",0.0028239465066666,2.35,2.35,1.9,2.35,2
"SSP3_7_0",0.00587230727682301,2.35,2.35,1.9,2.35,2
"SSP5_8_5",0.00794151615148882,2.35,2.35,1.9,2.35,2
"SSP1_1_9",0.00594927146768698,1,1.75,1.45,2.05,2
"SSP1_2_6",0.0105073967090133,1,1.75,1.45,2.05,2
"SSP2_4_5",0.0339890623696379,1,1.75,1.45,2.05,2
"SSP3_7_0",0.0312638645496377,1,1.75,1.45,2.05,2
"SSP5_8_5",0.0307418526925252,1,1.75,1.45,2.05,2
"SSP1_1_9",0.0158934807075312,1.45,2.05,1.75,2.05,2
"SSP1_2_6",0.00929793257405348,1.45,2.05,1.75,2.05,2
"SSP2_4_5",0.0282157214727012,1.45,2.05,1.75,2.05,2
"SSP3_7_0",0.0203178262692848,1.45,2.05,1.75,2.05,2
"SSP5_8_5",0.020044969153695,1.45,2.05,1.75,2.05,2
"SSP1_1_9",0.00401910488645349,1,1.45,1.3,1.3,2
"SSP1_2_6",0.00512149865570583,1,1.45,1.3,1.3,2
"SSP2_4_5",0.0232756710831794,1,1.45,1.3,1.3,2
"SSP3_7_0",0.0208393840893414,1,1.45,1.3,1.3,2
"SSP5_8_5",0.0199076496905245,1,1.45,1.3,1.3,2
"SSP1_1_9",0.00032609026505425,1.3,1.45,2.05,2.5,2
"SSP1_2_6",0.000334093521088694,1.3,1.45,2.05,2.5,2
"SSP2_4_5",0.00311685140846056,1.3,1.45,2.05,2.5,2
"SSP3_7_0",0.00299048935777119,1.3,1.45,2.05,2.5,2
"SSP5_8_5",0.00287085375400695,1.3,1.45,2.05,2.5,2
"SSP1_1_9",0.0283569721438151,1.15,2.2,2.35,2.35,2
"SSP1_2_6",0.017833903516458,1.15,2.2,2.35,2.35,2
"SSP2_4_5",0.0610161082495211,1.15,2.2,2.35,2.35,2
"SSP3_7_0",0.0485043490871374,1.15,2.2,2.35,2.35,2
"SSP5_8_5",0.0527676106867634,1.15,2.2,2.35,2.35,2
"SSP1_1_9",0.0312475494266199,1.3,2.5,2.35,2.5,2
"SSP1_2_6",0.0267587082328275,1.3,2.5,2.35,2.5,2
"SSP2_4_5",0.0605544957359918,1.3,2.5,2.35,2.5,2
"SSP3_7_0",0.0562731865128152,1.3,2.5,2.35,2.5,2
"SSP5_8_5",0.0546467210378288,1.3,2.5,2.35,2.5,2
"SSP1_1_9",0.0128377267241425,1.45,2.05,1.75,2.05,2
"SSP1_2_6",0.00892671973558458,1.45,2.05,1.75,2.05,2
"SSP2_4_5",0.0339871398563947,1.45,2.05,1.75,2.05,2
"SSP3_7_0",0.0341943686527363,1.45,2.05,1.75,2.05,2
"SSP5_8_5",0.0342578654131001,1.45,2.05,1.75,2.05,2
"SSP1_1_9",0,1,1.15,1.45,1.6,2
"SSP1_2_6",0.00528056124063352,1,1.15,1.45,1.6,2
"SSP2_4_5",0.00269334881558909,1,1.15,1.45,1.6,2
"SSP3_7_0",0.00265866094783349,1,1.15,1.45,1.6,2
"SSP5_8_5",0.00281706158900794,1,1.15,1.45,1.6,2
"SSP1_1_9",0.00287661385404203,1,1.6,1.45,2.05,2
"SSP1_2_6",0.00798574999951726,1,1.6,1.45,2.05,2
"SSP2_4_5",0.0224664666477101,1,1.6,1.45,2.05,2
"SSP3_7_0",0.0217910529268389,1,1.6,1.45,2.05,2
"SSP5_8_5",0.02024649326195,1,1.6,1.45,2.05,2
"SSP1_1_9",0.00163107459599881,1.6,1.75,2.05,2.35,2
"SSP1_2_6",0.0011007621805872,1.6,1.75,2.05,2.35,2
"SSP2_4_5",0.00573670401241245,1.6,1.75,2.05,2.35,2
"SSP3_7_0",0.00437148963348575,1.6,1.75,2.05,2.35,2
