"Year","X5.","Mean","X95.","scenario"
2040,1.49705727170548,1.78132036634748,2.12858905528652,"SSP3_7_0"
2041,1.5225253705478,1.81507835520978,2.16697667505021,"SSP3_7_0"
2042,1.54761192765239,1.84717485215369,2.21467738591944,"SSP3_7_0"
2043,1.57146940378506,1.87623038183679,2.25658777983793,"SSP3_7_0"
2044,1.59544296394749,1.90756718866691,2.29976386988796,"SSP3_7_0"
2045,1.61948141905012,1.94039888397967,2.3432549616771,"SSP3_7_0"
2046,1.64429320980969,1.97396307667811,2.38648762877733,"SSP3_7_0"
2047,1.66918741610172,2.00633954236547,2.429366418991,"SSP3_7_0"
2048,1.69286639926299,2.03721255334831,2.47072247631565,"SSP3_7_0"
2049,1.71781748182411,2.06608830498904,2.513280735093,"SSP3_7_0"
2050,1.74123733866558,2.10065825191707,2.55801747885851,"SSP3_7_0"
2051,1.76639510057665,2.13323950199083,2.5997044792634,"SSP3_7_0"
2052,1.7918913472118,2.16650230768691,2.64346711951547,"SSP3_7_0"
2053,1.81880757009285,2.20031281945209,2.68798350066131,"SSP3_7_0"
2054,1.84154879234779,2.23490415789538,2.73286577367046,"SSP3_7_0"
2055,1.86437941034456,2.26824955827806,2.78159975910205,"SSP3_7_0"
2056,1.89038039606504,2.30038069973691,2.82736213535754,"SSP3_7_0"
2057,1.91732920613652,2.33372409641575,2.87231933741278,"SSP3_7_0"
2058,1.94352993330481,2.36842676143069,2.91728249496608,"SSP3_7_0"
2059,1.96768445859155,2.40376809318697,2.96391983691936,"SSP3_7_0"
2060,1.99158333877609,2.43856071858517,3.00982611961508,"SSP3_7_0"
2061,2.01703107228925,2.47310137212982,3.05624038349743,"SSP3_7_0"
2062,2.03908280503621,2.51004387244988,3.10410094055756,"SSP3_7_0"
2063,2.06537828207732,2.54670902923675,3.15241865354326,"SSP3_7_0"
2064,2.09198967044258,2.58408701987237,3.19887947324721,"SSP3_7_0"
2065,2.11752244191171,2.62183266994272,3.24845854776435,"SSP3_7_0"
2066,2.14151174936138,2.65874578392176,3.29757264977422,"SSP3_7_0"
2067,2.16757740549313,2.69575256623182,3.34632349437268,"SSP3_7_0"
2068,2.19225136247524,2.72999783065455,3.39570738934584,"SSP3_7_0"
2069,2.22026320540239,2.76467609453521,3.4449028723084,"SSP3_7_0"
2070,2.2454257514544,2.79920547647392,3.49387892145384,"SSP3_7_0"
2071,2.27236518189404,2.83720624917532,3.54311534882845,"SSP3_7_0"
2072,2.30035427201626,2.875600342069,3.59244061543665,"SSP3_7_0"
2073,2.32784468660381,2.91232157253154,3.64267496913039,"SSP3_7_0"
2074,2.35769364641738,2.95005714563479,3.69231871387272,"SSP3_7_0"
2075,2.38765651856517,2.98748498658805,3.7437534454688,"SSP3_7_0"
2076,2.41692463588548,3.02804248730073,3.7954872037503,"SSP3_7_0"
2077,2.44195859164191,3.0659652367904,3.84769073193744,"SSP3_7_0"
2078,2.46961689690488,3.10242488291716,3.89889924972295,"SSP3_7_0"
2079,2.49919385158783,3.14093660399794,3.95008048034577,"SSP3_7_0"
2080,2.52844743663468,3.18103969938255,4.00134638484765,"SSP3_7_0"
